Sample_Pep	Group	Count_1	Count_2	Intensity_1	Intensity_2
140-D2	ADJ	14	6	53	40
138-A3	ADJ	33	24	104	65
138-B4	ADJ	50	27	260	131
138-D5	ADJ	68	70	339	328
139-A5	ADJ	53	51	190	325
139-D1	ADJ	62	73	228	246
140-A1	ADJ	24	11	134	55
140-B2	ADJ	20	11	79	48
140-D3	ADJ	8	7	37	33
138-A4	ADJ	14	24	51	105
138-B5	ADJ	30	37	204	191
138-D6	ADJ	60	37	294	216
139-B1	ADJ	59	42	310	222
139-D2	ADJ	40	39	119	120
140-A2	ADJ	10	3	50	24
140-B3	ADJ	9	13	17	20
140-D4	ADJ	17	6	71	47
140-D5	ADJ	2	11	3	19
148-A5	ADJ	43	42	141	156
148-D1	ADJ	42	35	137	127
149-A1	PBS	60	81	252	254
149-B1	PBS	59	93	290	321
149-D2	PBS	94	84	416	317
150-A2	PBS	6	4	29	24
150-B3	PBS	8	6	66	45
140-D6	ADJ	5	3	30	9
148-B1	ADJ	48	58	218	278
148-D2	ADJ	32	33	150	120
149-A2	PBS	85	67	420	214
149-B2	PBS	87	90	258	366
149-D3	PBS	88	96	385	500
150-A3	PBS	7	7	17	12
150-B4	PBS	9	8	63	21
148-A1	ADJ	29	29	149	188
148-B2	ADJ	36	42	168	165
148-D3	ADJ	30	35	93	124
149-A3	PBS	61	62	153	236
149-B3	PBS	51	71	158	261
149-D4	PBS	76	105	240	455
150-A4	PBS	8	2	49	8
150-B5	PBS	6	11	11	57
148-A2	ADJ	14	34	81	146
148-B3	ADJ	36	28	192	125
148-D4	ADJ	27	31	65	152
149-A4	PBS	78	80	257	225
149-B4	PBS	61	40	176	115
149-D5	PBS	96	105	413	458
150-A5	PBS	11	8	79	24
150-D1	PBS	7	8	20	19
148-A3	ADJ	34	23	116	144
148-B4	ADJ	57	29	230	113
148-D5	ADJ	50	40	223	200
149-A5	PBS	78	142	262	606
149-B5	PBS	92	104	272	412
149-D6	PBS	148	103	613	471
150-B1	PBS	23	14	144	117
150-D2	PBS	14	10	53	49
148-A4	ADJ	23	21	71	70
148-B5	ADJ	36	31	255	118
148-D6	ADJ	25	20	94	75
149-A6	PBS	172	137	900	620
149-D1	PBS	119	60	508	174
150-A1	PBS	10	10	49	52
150-B2	PBS	6	10	19	77
150-D3	PBS	3	4	20	25
150-D4	PBS	5	3	36	4
125-B5	BD	103	129	496	542
125-D6	BD	105	136	402	566
101	PHA	266	333	4054	4272
106	PHA	465	409	6463	6335
111	PHA	527	368	7972	6214
116	PHA	108	113	1054	1001
121	PHA	13	14	79	43
150-D5	PBS	6	9	29	26
125-D1	BD	171	191	784	1008
NA	NA	11	7	42	32
102	PHA	48	45	243	213
107	PHA	480	444	8328	8045
112	PHA	776	680	11590	10106
117	PHA	5	14	31	50
122	PHA	645	515	9856	8207
150-D6	PBS	4	2	16	12
125-D2	BD	68	52	310	226
NA	NA	7	5	40	23
103	PHA	350	322	5444	5206
108	PHA	415	321	6707	5316
113	PHA	21	33	69	129
118	PHA	640	541	10171	7435
123	PHA	82	182	784	2192
NA	NA	6	1	20	1
125-D3	BD	67	53	271	170
NA	NA	5	4	58	29
104	PHA	TNTC	TNTC	99215	99446
109	PHA	107	199	1199	2546
114	PHA	320	269	4480	3707
119	PHA	526	520	8135	8565
124	PHA	23	28	134	128
NA	NA	4	9	24	42
125-D4	BD	60	53	179	152
NA	NA	7	1	40	1
105	PHA	554	327	8729	5174
110	PHA	716	684	10262	9792
115	PHA	509	660	7160	9546
120	PHA	82	75	424	368
125	PHA	313	327	4396	4929
NA	NA	7	5	26	31
125-D5	BD	150	130	805	619
NA	NA	7	9	48	50
141	PHA	337	343	4726	5226
142	PHA	43	49	211	306
143	PHA	638	534	8692	7018
144	PHA	296	279	4392	4358
145	PHA	340	216	5102	2902
126	PHA	4	10	10	32
131	PHA	466	378	6043	5461
136	PHA	466	509	6641	7654
149	PHA	533	281	8046	4088
127	PHA	235	172	2715	1591
134	PHA	313	127	4303	1099
